,euclidean_distance,hdf5_idx
643,461.39,16512
644,461.38,1164
645,461.16,3943
646,461.05,16164
647,461.02,12370
648,460.73,470
649,460.62,7416
650,460.21,18330
651,459.71,1276
652,459.68,15996
653,459.6,9758
654,459.51,13143
655,459.49,585
656,459.38,6562
657,459.37,6893
658,459.14,7105
659,458.99,13203
660,458.99,17426
661,458.87,11410
662,458.85,1314
663,458.76,4922
664,458.51,870
665,458.49,927
666,458.48,4940
667,458.47,12632
668,458.15,6082
669,458.07,10628
670,458.05,11966
671,457.91,6616
672,457.78,13868
673,457.61,6825
674,457.61,11863
675,457.57,14382
676,457.5,8574
677,457.49,16396
678,457.47,3611
679,457.38,12350
680,457.15,11016
681,457.1,16168
682,456.89,13883
683,456.88,16495
684,456.75,14047
685,456.73,17275
686,456.67,9394
687,456.58,14190
688,456.47,3455
689,456.27,13485
690,455.97,3499
691,455.83,11910
692,455.79,3255
693,455.62,9185
694,455.56,15918
695,455.55,3794
696,455.47,13716
697,455.46,10513
698,455.35,8636
699,455.31,1880
700,455.07,16032
701,454.99,16791
702,454.93,608
703,454.91,2737
704,454.74,6559
705,454.72,8844
706,454.68,1576
707,454.58,11205
708,454.49,12913
709,454.44,14933
710,454.35,476
711,454.22,6103
712,454.16,15805
713,453.99,13123
714,453.97,6519
715,453.86,5626
716,453.49,8308
717,453.39,3562
718,453.04,11582
719,452.66,11337
720,452.52,1075
721,452.52,17348
722,452.2,13522
723,451.78,61
724,451.44,9463
725,451.4,2510
726,451.04,2900
727,450.96,4825
728,450.87,5494
729,450.87,12270
730,450.71,5923
731,450.34,18201
732,449.91,359
733,449.72,4182
734,449.55,9411
735,449.22,2353
736,449.02,4741
737,448.88,11828
738,448.82,10674
739,448.54,7670
740,448.16,234
741,448.06,1357
742,448.0,7704
743,447.93,6359
744,447.9,12740
745,447.87,18819
746,447.77,16476
747,447.76,15631
748,447.7,513
749,447.61,1518
750,447.52,18054
751,447.19,6320
752,447.05,4109
753,447.01,353
754,446.97,13286
755,446.86,14884
756,446.81,571
757,446.74,8715
758,446.68,16970
759,446.48,13738
760,446.3,5946
761,446.25,5240
762,446.13,16912
763,446.01,18334
764,445.8,5329
765,445.78,4622
766,445.39,12987
767,445.33,17833
768,445.29,10998
769,445.28,16581
770,445.25,10312
771,445.05,13623
772,445.01,9920
773,444.95,6696
774,444.72,2031
775,444.62,16324
776,444.59,9661
777,444.52,341
778,444.48,3234
779,444.46,15914
780,444.42,2160
781,444.37,13151
782,444.32,12772
783,444.28,18955
784,444.27,17955
785,444.08,8609
786,444.06,15019
787,443.97,8178
788,443.95,16648
789,443.49,5429
790,443.43,10751
791,443.4,5577
792,443.35,15625
793,443.3,6307
794,443.22,15411
795,443.17,10994
796,443.1,3405
797,442.92,8815
798,442.78,2929
799,442.61,14333
800,442.57,15168
801,442.51,5844
802,442.49,2793
803,442.49,6954
804,442.47,18045
805,442.41,17686
806,442.38,10743
807,442.1,3155
808,442.07,16483
809,441.93,14259
810,441.74,14491
811,441.69,14593
812,441.66,2072
813,441.55,1734
814,441.47,6552
815,441.42,14197
816,441.4,14275
817,441.06,6015
818,440.98,3665
819,440.98,17501
820,440.9,14581
821,440.89,18728
822,440.46,17564
823,440.35,15997
824,440.3,16950
825,440.29,18276
826,440.17,12070
827,440.05,7676
828,440.0,8442
829,439.92,14840
830,439.66,7334
831,439.59,5974
832,439.56,16127
833,439.48,17587
834,439.43,10634
